"species","Spnvisits","P90","prop_abs","Taxa","Taxa_Root"
"NOMADA flavoguttata",1659,77,0.974474566883097,"Bees","Bees"
"NOMADA flavopicta",282,15,0.995661137951195,"Bees","Bees"
"NOMADA fucata",1200,72.3,0.98153675723913,"Bees","Bees"
"NOMADA fulvicornis",384,26,0.994091762316522,"Bees","Bees"
"NOMADA hirtipes",94,8.5,0.998553712650398,"Bees","Bees"
"NOMADA lathburiana",486,28.3,0.992522386681848,"Bees","Bees"
"NOMADA leucophthalma",634,27.4,0.990245253408007,"Bees","Bees"
"NOMADA marshamella",1785,68,0.972535926393206,"Bees","Bees"
"NOMADA obtusifrons",37,4,0.99943071668154,"Bees","Bees"
"NOMADA panzeri",779,29,0.988014278241068,"Bees","Bees"
"NOMADA ruficornis",990,45.7,0.984767824722282,"Bees","Bees"
"NOMADA sheppardana",194,12.5,0.997015109086993,"Bees","Bees"
"NOMADA signata",85,7.2,0.998692186971105,"Bees","Bees"
"NOMADA striata",328,15.7,0.994953380312029,"Bees","Bees"
"NOMADA roberjeotiana",33,3.4,0.999492260824076,"Bees","Bees"
"NOMADA ferruginata",59,6.1,0.999092223897591,"Bees","Bees"
"EPEOLUS variegatus",688,31.8,0.989414407483768,"Bees","Bees"
"EUCERA longicornis",214,12,0.996707388374311,"Bees","Bees"
"ANTHOPHORA bimaculata",913,46.6,0.985952549466105,"Bees","Bees"
"ANTHOPHORA furcata",640,28.4,0.990152937194202,"Bees","Bees"
"ANTHOPHORA quadrimaculata",202,11,0.99689202080192,"Bees","Bees"
"ANTHOPHORA retusa",28,3,0.999569191002246,"Bees","Bees"
"MELECTA albifrons",271,14.3,0.99583038434317,"Bees","Bees"
"CERATINA cyanea",306,16,0.995291873095978,"Bees","Bees"
"HALICTUS eurygnathus",22,5.5,0.999661507216051,"Bees","Bees"
"BOMBUS campestris",994,41.5,0.984706280579746,"Bees","Bees"
"BOMBUS bohemicus",1309,56.5,0.979859679355017,"Bees","Bees"
"BOMBUS ruderarius",688,30.5,0.989414407483768,"Bees","Bees"
"COLLETES floralis",88,12.2,0.998646028864203,"Bees","Bees"
"HYLAEUS incongruus",78,5,0.998799889220543,"Bees","Bees"
"ANDRENA falsifica",47,3,0.999276856325199,"Bees","Bees"
"HALICTUS confusus",76,4,0.998830661291812,"Bees","Bees"
"LASIOGLOSSUM angusticeps",49,4.1,0.999246084253931,"Bees","Bees"
"LASIOGLOSSUM laticeps",45,5,0.999307628396467,"Bees","Bees"
"SPHECODES miniatus",67,5,0.998969135612518,"Bees","Bees"
"HERIADES truncorum",219,16.6,0.996630458196141,"Bees","Bees"
"MEGACHILE circumcincta",121,6.4,0.998138289688279,"Bees","Bees"
"NOMADA sexfasciata",9,2,0.999861525679293,"Bees","Bees"
"COELIOXYS quadridentata",17,1.7,0.999738437394221,"Bees","Bees"
"XYLOCOPA violacea",8,2,0.999876911714928,"Bees","Bees"
"ANDRENA ruficrus",50,3,0.999230698218297,"Bees","Bees"
